Date,Price,Open,High,Low,Vol.,Change %
10/30/2002,127.35,127.35,127.35,127.35,,0.00%
10/29/2002,127.35,127.35,127.35,127.35,,0.00%
10/28/2002,127.35,127.35,127.35,127.35,,-0.08%
10/25/2002,127.45,127.45,127.45,127.45,,0.00%
10/24/2002,127.45,127.45,127.45,127.45,,0.16%
10/23/2002,127.25,127.25,127.25,127.25,,-0.04%
10/22/2002,127.3,127.3,127.3,127.3,,-0.08%
10/21/2002,127.4,127.4,127.4,127.4,,-0.08%
10/18/2002,127.5,127.5,127.5,127.5,,0.12%
10/17/2002,127.35,127.35,127.35,127.35,,-0.12%
10/16/2002,127.5,127.5,127.5,127.5,,0.28%
10/15/2002,127.15,127.15,127.15,127.15,,-0.16%
10/14/2002,127.35,127.35,127.35,127.35,,-0.08%
10/11/2002,127.45,127.45,127.45,127.45,,-0.82%
10/10/2002,128.5,128.5,128.5,128.5,,0.39%
10/09/2002,128,128,128,128,,0.47%
10/08/2002,127.4,127.4,127.4,127.4,,0.28%
10/07/2002,127.05,127.05,127.05,127.05,,0.24%
10/04/2002,126.75,126.75,126.75,126.75,,0.00%
10/03/2002,126.75,126.75,126.75,126.75,,0.40%
10/02/2002,126.25,126.25,126.25,126.25,,-0.98%
10/01/2002,127.5,127.5,127.5,127.5,,0.99%
09/30/2002,126.25,126.25,126.25,126.25,,-0.47%
09/27/2002,126.85,126.85,126.85,126.85,,-0.28%
09/26/2002,127.2,127.2,127.2,127.2,,-0.90%
09/25/2002,128.35,128.35,128.35,128.35,,0.47%
09/24/2002,127.75,127.75,127.75,127.75,,-0.74%
09/23/2002,128.7,128.7,128.7,128.7,,-0.23%
09/20/2002,129,129,129,129,,0.27%
09/19/2002,128.65,128.65,128.65,128.65,,-0.39%
09/18/2002,129.15,129.15,129.15,129.15,,-0.23%
09/17/2002,129.45,129.45,129.45,129.45,,0.00%
09/16/2002,129.45,129.45,129.45,129.45,,-0.15%
09/13/2002,129.65,129.65,129.65,129.65,,0.08%
09/12/2002,129.55,129.55,129.55,129.55,,0.31%
09/11/2002,129.15,129.15,129.15,129.15,,0.54%
09/10/2002,128.45,128.45,128.45,128.45,,0.00%
09/09/2002,128.45,128.45,128.45,128.45,,0.94%
09/06/2002,127.25,127.25,127.25,127.25,,-0.20%
09/05/2002,127.5,127.5,127.5,127.5,,0.00%
09/04/2002,127.5,127.5,127.5,127.5,,-0.78%
09/03/2002,128.5,128.5,128.5,128.5,,0.78%
09/02/2002,127.5,127.5,127.5,127.5,,0.20%
08/30/2002,127.25,127.25,127.25,127.25,,0.20%
08/29/2002,127,127,127,127,,-0.20%
08/28/2002,127.25,127.25,127.25,127.25,,0.00%
08/27/2002,127.25,127.25,127.25,127.25,,-0.20%
08/26/2002,127.5,127.5,127.5,127.5,,-0.20%
08/23/2002,127.75,127.75,127.75,127.75,,-0.23%
08/22/2002,128.05,128.05,128.05,128.05,,-0.16%
08/21/2002,128.25,128.25,128.25,128.25,,0.12%
08/20/2002,128.1,128.1,128.1,128.1,,-1.12%
08/19/2002,129.55,129.55,129.55,129.55,,0.00%
08/16/2002,129.55,129.55,129.55,129.55,,0.39%
08/15/2002,129.05,129.05,129.05,129.05,,-0.73%
08/14/2002,130,130,130,130,,0.39%
08/13/2002,129.5,129.5,129.5,129.5,,-0.46%
08/12/2002,130.1,130.1,130.1,130.1,,-0.69%
08/09/2002,131,131,131,131,,0.00%
08/08/2002,131,131,131,131,,-0.10%
08/07/2002,131.125,131.125,131.125,131.125,,0.10%
08/06/2002,131,131,131,131,,-0.49%
08/05/2002,131.65,131.65,131.65,131.65,,0.00%
08/02/2002,131.65,131.65,131.65,131.65,,-2.30%
08/01/2002,134.75,134.75,134.75,134.75,,0.56%
07/31/2002,134,134,134,134,,0.37%
07/30/2002,133.5,133.5,133.5,133.5,,0.24%
07/29/2002,133.18,133.18,133.18,133.18,,3.04%
07/26/2002,129.25,129.25,129.25,129.25,,1.37%
07/25/2002,127.5,127.5,127.5,127.5,,0.00%
07/24/2002,127.5,127.5,127.5,127.5,,-3.81%
07/23/2002,132.55,132.55,132.55,132.55,,6.08%
07/19/2002,124.95,124.95,124.95,124.95,,0.08%
07/18/2002,124.85,124.85,124.85,124.85,,1.09%
07/17/2002,123.5,123.5,123.5,123.5,,0.20%
07/16/2002,123.25,123.25,123.25,123.25,,1.65%
07/15/2002,121.25,121.25,121.25,121.25,,0.66%
07/12/2002,120.45,120.45,120.45,120.45,,-0.33%
07/11/2002,120.85,120.85,120.85,120.85,,0.00%
07/10/2002,120.85,120.85,120.85,120.85,,0.00%
07/09/2002,120.85,120.85,120.85,120.85,,0.00%
07/08/2002,120.85,120.85,120.85,120.85,,0.50%
07/05/2002,120.25,120.25,120.25,120.25,,0.04%
07/04/2002,120.2,120.2,120.2,120.2,,-0.04%
07/03/2002,120.25,120.25,120.25,120.25,,0.00%
07/02/2002,120.25,120.25,120.25,120.25,,0.00%
07/01/2002,120.25,120.25,120.25,120.25,,0.33%
06/28/2002,119.85,119.85,119.85,119.85,,-0.08%
06/27/2002,119.95,119.95,119.95,119.95,,0.17%
06/26/2002,119.75,119.75,119.75,119.75,,-0.08%
06/25/2002,119.85,119.85,119.85,119.85,,-0.08%
06/24/2002,119.95,119.95,119.95,119.95,,0.00%
06/21/2002,119.95,119.95,119.95,119.95,,-0.08%
06/20/2002,120.05,120.05,120.05,120.05,,-0.17%
06/19/2002,120.25,120.25,120.25,120.25,,-0.05%
06/18/2002,120.31,120.31,120.31,120.31,,-0.16%
06/17/2002,120.5,120.5,120.5,120.5,,3.43%
